spec,csoport,valtozo,egyutthato,klaszt_SE,t
A: kamat / ÉV VÉGI állomány,S_KKV_egyben,log(lev),-0.011665388896484082,0.0028540964072544498,-4.087244168358635
A: kamat / ÉV VÉGI állomány,S_KKV_egyben,ev=2022,0.024895330343784924,0.0013472710746947726,18.4783380355917
A: kamat / ÉV VÉGI állomány,S_KKV_egyben,ev=2023,0.03853387469252432,0.0015367702886678212,25.074583349687316
A: kamat / ÉV VÉGI állomány,S_KKV_egyben,ev=2024,0.040062949284543015,0.0015208387098976193,26.342668044818506
A: kamat / ÉV VÉGI állomány,L_nagyvallalat,log(lev),0.0049609234976527306,0.009376281238849976,0.5290928643540986
A: kamat / ÉV VÉGI állomány,L_nagyvallalat,ev=2022,0.040437730148654684,0.00453496064789416,8.916886669663212
A: kamat / ÉV VÉGI állomány,L_nagyvallalat,ev=2023,0.07265411983396877,0.005451348513834127,13.32773343138697
A: kamat / ÉV VÉGI állomány,L_nagyvallalat,ev=2024,0.057126310515348035,0.005081335563891882,11.24238102306985
A: kamat / ÉV VÉGI állomány,E_export_KKV (diagnosztika),log(lev),-0.01144502606777651,0.0035614189731991153,-3.2136140549326577
A: kamat / ÉV VÉGI állomány,E_export_KKV (diagnosztika),ev=2022,0.02348470761507253,0.0016399067720037162,14.320757750379796
A: kamat / ÉV VÉGI állomány,E_export_KKV (diagnosztika),ev=2023,0.03746962301832424,0.0018260712701301674,20.519255535767396
A: kamat / ÉV VÉGI állomány,E_export_KKV (diagnosztika),ev=2024,0.03972284586321005,0.001856124321931175,21.400961882704628
A: kamat / ÉV VÉGI állomány,D_hazai_KKV (diagnosztika),log(lev),-0.01404191621217303,0.005221360760959079,-2.6893212047645907
A: kamat / ÉV VÉGI állomány,D_hazai_KKV (diagnosztika),ev=2022,0.027098326890675185,0.002462752851747001,11.003266881389445
A: kamat / ÉV VÉGI állomány,D_hazai_KKV (diagnosztika),ev=2023,0.041138582085460965,0.0029492184430431915,13.948977629141487
A: kamat / ÉV VÉGI állomány,D_hazai_KKV (diagnosztika),ev=2024,0.041829788378414216,0.0028001857396423983,14.938219199615004
B: kamat / ÁTLAGOS állomány,S_KKV_egyben,log(lev),-0.0005240760625751279,0.003217839646716362,-0.16286581064097466
B: kamat / ÁTLAGOS állomány,S_KKV_egyben,ev=2022,-0.005264837249280993,463.4700318686906,-1.1359606635305853e-05
B: kamat / ÁTLAGOS állomány,S_KKV_egyben,ev=2023,0.005592909845656577,655.4456048214319,8.532988556968502e-06
B: kamat / ÁTLAGOS állomány,S_KKV_egyben,ev=2024,-0.0003280725963754926,463.47003186897336,-7.078615095187888e-07
B: kamat / ÁTLAGOS állomány,L_nagyvallalat,log(lev),0.003974028096983345,0.009986930160191419,0.3979228885392721
B: kamat / ÁTLAGOS állomány,L_nagyvallalat,ev=2022,-0.01780002744076146,4901.032892492297,-3.6318930787076816e-06
B: kamat / ÁTLAGOS állomány,L_nagyvallalat,ev=2023,0.016648836877797432,5386.176377701692,3.091030762884444e-06
B: kamat / ÁTLAGOS állomány,L_nagyvallalat,ev=2024,0.001151190562964057,6244.392771802869,1.8435588615795663e-07
B: kamat / ÁTLAGOS állomány,E_export_KKV (diagnosztika),log(lev),0.00016785060931712653,0.0036226144171707425,0.04633410846087717
B: kamat / ÁTLAGOS állomány,E_export_KKV (diagnosztika),ev=2022,-0.007274359481017999,,
B: kamat / ÁTLAGOS állomány,E_export_KKV (diagnosztika),ev=2023,0.0056424079220767824,,
B: kamat / ÁTLAGOS állomány,E_export_KKV (diagnosztika),ev=2024,0.0016319515589412147,,
B: kamat / ÁTLAGOS állomány,D_hazai_KKV (diagnosztika),log(lev),-0.004652728161327504,0.006748254980318972,-0.6894713040477884
B: kamat / ÁTLAGOS állomány,D_hazai_KKV (diagnosztika),ev=2022,-0.0023389326741458084,650.9735205599577,-3.592976673050992e-06
B: kamat / ÁTLAGOS állomány,D_hazai_KKV (diagnosztika),ev=2023,0.006250809060328001,650.9735205602042,9.602247807174678e-06
B: kamat / ÁTLAGOS állomány,D_hazai_KKV (diagnosztika),ev=2024,-0.0039118763861821955,1539.4072957069857,-2.5411574942456236e-06
C: B + stabil hitelállomány,S_KKV_egyben,log(lev),0.008567336237245048,0.004389536038644236,1.9517635034364997
C: B + stabil hitelállomány,S_KKV_egyben,ev=2022,-0.009524913903813086,0.0014639429334560672,-6.5063423485550285
C: B + stabil hitelállomány,S_KKV_egyben,ev=2023,0.003847507647596484,0.0012916823047346383,2.9786795355897606
C: B + stabil hitelállomány,S_KKV_egyben,ev=2024,0.005677406256216629,0.0014503905082227332,3.9143983803186626
C: B + stabil hitelállomány,L_nagyvallalat,log(lev),-0.02895533126127464,0.037062994681437166,-0.7812464025141711
C: B + stabil hitelállomány,L_nagyvallalat,ev=2022,-0.007437996000704569,0.006120804305506971,-1.2151991191766256
C: B + stabil hitelállomány,L_nagyvallalat,ev=2023,0.01206137249059258,0.005199573156115253,2.319685121923348
C: B + stabil hitelállomány,L_nagyvallalat,ev=2024,-0.004623376489888118,0.005575747411362597,-0.8291940342323113
C: B + stabil hitelállomány,E_export_KKV (diagnosztika),log(lev),0.006847102993900794,0.005277081794796125,1.2975169345779158
C: B + stabil hitelállomány,E_export_KKV (diagnosztika),ev=2022,-0.008935657068330258,0.0016005844172818182,-5.582746509243903
C: B + stabil hitelállomány,E_export_KKV (diagnosztika),ev=2023,0.0015934366445067797,0.0013269946073897504,1.2007860737589062
